Site_Code,Exists,District,District_Name
CCCM-SO2401-0235,yes,SO2401,Baidoa
CCCM-SO2401-0804,yes,SO2401,Baidoa
CCCM-SO2401-0767,yes,SO2401,Baidoa
CCCM-SO2401-0237,yes,SO2401,Baidoa
CCCM-SO2401-0238,yes,SO2401,Baidoa
CCCM-SO2401-0239,yes,SO2401,Baidoa
CCCM-SO2401-0240,yes,SO2401,Baidoa
CCCM-SO2401-0241,yes,SO2401,Baidoa
CCCM-SO2401-0244,yes,SO2401,Baidoa
CCCM-SO2401-0750,yes,SO2401,Baidoa
CCCM-SO2401-0182,yes,SO2401,Baidoa
CCCM-SO2401-0248,yes,SO2401,Baidoa
CCCM-SO2401-0251,yes,SO2401,Baidoa
CCCM-SO2401-0632,yes,SO2401,Baidoa
CCCM-SO2401-0252,yes,SO2401,Baidoa
CCCM-SO2401-0843,yes,SO2401,Baidoa
CCCM-SO2401-0255,yes,SO2401,Baidoa
CCCM-SO2401-0256,yes,SO2401,Baidoa
CCCM-SO2401-0257,yes,SO2401,Baidoa
CCCM-SO2401-0259,yes,SO2401,Baidoa
CCCM-SO2401-0260,yes,SO2401,Baidoa
CCCM-SO2401-0261,yes,SO2401,Baidoa
CCCM-SO2401-0889,yes,SO2401,Baidoa
CCCM-SO2401-0262,yes,SO2401,Baidoa
CCCM-SO2401-0890,yes,SO2401,Baidoa
CCCM-SO2401-0265,yes,SO2401,Baidoa
CCCM-SO2401-0752,yes,SO2401,Baidoa
CCCM-SO2401-0653,yes,SO2401,Baidoa
CCCM-SO2401-0267,yes,SO2401,Baidoa
CCCM-SO2401-0729,yes,SO2401,Baidoa
CCCM-SO2401-0891,yes,SO2401,Baidoa
CCCM-SO2401-0676,yes,SO2401,Baidoa
CCCM-SO2401-0270,yes,SO2401,Baidoa
CCCM-SO2401-0271,yes,SO2401,Baidoa
CCCM-SO2401-0924,yes,SO2401,Baidoa
CCCM-SO2401-0273,yes,SO2401,Baidoa
CCCM-SO2401-0805,yes,SO2401,Baidoa
CCCM-SO2401-0925,yes,SO2401,Baidoa
CCCM-SO2401-0275,yes,SO2401,Baidoa
CCCM-SO2401-0281,yes,SO2401,Baidoa
CCCM-SO2401-0283,yes,SO2401,Baidoa
CCCM-SO2401-0847,yes,SO2401,Baidoa
CCCM-SO2401-0806,yes,SO2401,Baidoa
CCCM-SO2401-0285,yes,SO2401,Baidoa
CCCM-SO2401-0678,yes,SO2401,Baidoa
CCCM-SO2401-0286,yes,SO2401,Baidoa
CCCM-SO2401-0288,yes,SO2401,Baidoa
CCCM-SO2401-0704,yes,SO2401,Baidoa
CCCM-SO2401-0290,yes,SO2401,Baidoa
CCCM-SO2401-0291,yes,SO2401,Baidoa
CCCM-SO2401-0731,yes,SO2401,Baidoa
CCCM-SO2401-0732,yes,SO2401,Baidoa
CCCM-SO2401-0733,yes,SO2401,Baidoa
CCCM-SO2401-0294,yes,SO2401,Baidoa
CCCM-SO2401-0295,yes,SO2401,Baidoa
CCCM-SO2401-0296,yes,SO2401,Baidoa
CCCM-SO2401-0297,yes,SO2401,Baidoa
CCCM-SO2401-0299,yes,SO2401,Baidoa
CCCM-SO2401-0754,yes,SO2401,Baidoa
CCCM-SO2401-0301,yes,SO2401,Baidoa
CCCM-SO2401-0893,yes,SO2401,Baidoa
CCCM-SO2401-0849,yes,SO2401,Baidoa
CCCM-SO2401-0705,yes,SO2401,Baidoa
CCCM-SO2401-0706,yes,SO2401,Baidoa
